label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Serum-11221,Serum-11222,Serum-11223
,0,76,0,148.0717,12.62658,0.2022195,C13-label-3,glutamine,glutamine,C5H10N2O3,0.7982616,1.339648,145.0616,16196.25,14133.79,11959.68
,0,77,1,150.0783,12.61023,0.7602236,C13-label-5,glutamine,glutamine,C5H10N2O3,0.8146057,2.236783,145.0616,37534.88,0,0
,0,78,3,146.0587,12.61372,0.8360301,N15-label-1,glutamine,glutamine,C5H10N2O3,0.8111238,1.567052,145.0616,790086.5,800564.4,846451.8
,0,79,0,147.0558,12.62658,0.06387202,N15-label-2,glutamine,glutamine,C5H10N2O3,0.7982616,1.14138,145.0616,5939.885,6846.482,4725.384
,0,80,3,145.098,16.70639,0.8031427,C12 PARENT,lysine,lysine,C6H14N2O2,1.572229,1.577427,145.098,723067.6,1384716,1868604
,0,81,0,147.0981,16.71583,0.13715,C13N15-label-1-1,lysine,lysine,C6H14N2O2,1.562786,3.423146,145.098,0,0,751.6169
,0,82,1,146.1014,16.67807,0.68911,C13-label-1,lysine,lysine,C6H14N2O2,1.600548,1.566594,145.098,25772.53,47890.41,68978.29
,0,83,0,147.1048,16.7585,0.08667862,C13-label-2,lysine,lysine,C6H14N2O2,1.520119,1.348454,145.098,0,0,1713.428
,0,84,1,146.095,16.71,0.5374309,N15-label-1,lysine,lysine,C6H14N2O2,1.568619,1.671105,145.098,2137.222,5892.969,6305.939
,0,85,2,146.0456,12.54888,0.8157462,C12 PARENT,glutamate,glutamate,C5H9NO4,0.5930815,1.671671,146.0456,871786.3,953446.7,1134996
,0,86,0,148.046,12.53749,0.1189587,C13N15-label-1-1,glutamate,glutamate,C5H9NO4,0.6044674,1.958286,146.0456,0,1001.911,1150.619
,0,87,3,147.049,12.54888,0.8470458,C13-label-1,glutamate,glutamate,C5H9NO4,0.5930815,1.556498,146.0456,41403.69,45703.27,54537.11
,0,88,0,148.0523,12.54888,0.05383841,C13-label-2,glutamate,glutamate,C5H9NO4,0.5930815,2.061266,146.0456,3816.883,2197.639,4052.646
,0,89,0,147.0426,12.56182,0.3191601,N15-label-1,glutamate,glutamate,C5H9NO4,0.580143,1.867878,146.0456,29641.87,25691.23,32417.98
,0,90,3,148.0436,9.535084,0.8361547,C12 PARENT,methionine,methionine,C5H11NO2S,0.6619062,1.339903,148.0436,545387.9,749887.9,966230.5
,0,91,0,150.0439,9.551867,0.06025726,C13N15-label-1-1,methionine,methionine,C5H11NO2S,0.6451225,1.52543,148.0436,887.1016,0,0
,0,92,1,149.0468,9.54309,0.6122984,C13-label-1,methionine,methionine,C5H11NO2S,0.6539001,1.945136,148.0436,19047.88,26857.53,40909.58
,0,93,1,149.0406,9.521559,0.6293569,N15-label-1,methionine,methionine,C5H11NO2S,0.6754313,1.638079,148.0436,975.3148,0,3274.169
,0,94,3,154.062,13.31905,0.7144916,C12 PARENT,histidine,histidine,C6H9N3O2,0.9836845,1.28756,154.062,432868.3,613017.4,850829.3
,0,95,0,157.0611,13.2247,0.07053401,C13N15-label-1-2,histidine,histidine,C6H9N3O2,1.078029,9.423826,154.062,0,1292.099,0
,0,96,1,155.0654,13.41785,0.6448401,C13-label-1,histidine,histidine,C6H9N3O2,0.8848791,1.279228,154.062,0,0,39106.08
,0,97,0,156.0684,13.1829,0.08068196,C13-label-2,histidine,histidine,C6H9N3O2,1.119829,3.324165,154.062,0,0,1391.882
,0,98,3,155.059,13.33216,0.8133097,N15-label-1,histidine,histidine,C6H9N3O2,0.9705677,1.377687,154.062,3976.412,4920.772,9236.498
,0,99,0,157.052,13.33947,0.05198307,N15-label-3,histidine,histidine,C6H9N3O2,0.9632626,8.452638,154.062,0,0,937.1599
,0,100,3,164.0715,8.310967,0.8154867,C12 PARENT,phenylalanine,phenylalanine,C9H11NO2,0.5613575,1.30201,164.0715,2937989,4446188,4925156
,0,101,0,166.0716,8.394033,0.06505361,C13N15-label-1-1,phenylalanine,phenylalanine,C9H11NO2,0.4782915,2.848296,164.0715,0,1206.179,0
,0,102,3,165.0748,8.318856,0.818289,C13-label-1,phenylalanine,phenylalanine,C9H11NO2,0.5534687,1.848709,164.0715,272560.1,389260.5,443997.9
,0,103,3,166.0781,8.342728,0.8383126,C13-label-2,phenylalanine,phenylalanine,C9H11NO2,0.5295973,2.021294,164.0715,8235.143,11003.77,14898.84
,0,104,0,167.0824,8.332951,0.05225735,C13-label-3,phenylalanine,phenylalanine,C9H11NO2,0.5393744,3.744336,164.0715,1986.438,0,0
,0,105,0,172.0977,8.301917,0.07202718,C13-label-8,phenylalanine,phenylalanine,C9H11NO2,0.5704079,4.787807,164.0715,0,0,8111.521
,0,106,3,165.0685,8.342929,0.8447139,N15-label-1,phenylalanine,phenylalanine,C9H11NO2,0.5293961,1.479024,164.0715,6002.139,12283.76,17969.79
,0,107,3,173.1041,16.68159,0.7978383,C12 PARENT,arginine,arginine,C6H14N4O2,1.600855,1.939254,173.1041,625277.3,994169.9,1149815
,0,108,0,175.1045,16.70175,0.1390561,C13N15-label-1-1,arginine,arginine,C6H14N4O2,1.580698,1.655677,173.1041,795.0092,0,787.7713
,0,109,3,174.1074,16.69928,0.7373167,C13-label-1,arginine,arginine,C6H14N4O2,1.58317,1.928078,173.1041,33517.27,46729.2,63050.83
,0,110,0,175.1107,16.70508,0.2417316,C13-label-2,arginine,arginine,C6H14N4O2,1.577366,2.265582,173.1041,0,1817.733,1381.029
,0,111,0,174.1011,16.66379,0.4751896,N15-label-1,arginine,arginine,C6H14N4O2,1.61866,1.752862,173.1041,11765.48,19614.5,16481.4
,0,112,3,174.0881,12.83572,0.8299035,C12 PARENT,citrulline,citrulline,C6H13N3O3,0.8901567,1.840643,174.0881,1165544,1412355,1875109
,0,113,0,176.0886,12.87478,0.1559992,C13N15-label-1-1,citrulline,citrulline,C6H13N3O3,0.8510962,1.126501,174.0881,2225.459,853.518,2977.535
,0,114,0,180.0965,12.86778,0.09395999,C13N15-label-4-2,citrulline,citrulline,C6H13N3O3,0.8580952,3.134859,174.0881,0,0,1191.42
,0,115,3,175.0914,12.84875,0.8520815,C13-label-1,citrulline,citrulline,C6H13N3O3,0.8771286,1.917242,174.0881,56330.2,78421.87,119430.4
,0,116,0,176.0948,12.83572,0.1143891,C13-label-2,citrulline,citrulline,C6H13N3O3,0.8901567,1.819667,174.0881,2989.354,3130.38,2512.243
,0,117,1,175.0851,12.83572,0.7248333,N15-label-1,citrulline,citrulline,C6H13N3O3,0.8901567,1.830161,174.0881,37810.21,43111.69,52458.58
,0,118,0,176.0821,12.83292,0.05280562,N15-label-2,citrulline,citrulline,C6H13N3O3,0.8929625,1.993112,174.0881,0,1568.625,0
,0,119,3,179.0558,11.15251,0.7965357,C12 PARENT,Glucose,Glucose,C6H12O6,0.8270283,1.789576,179.0558,5.36E+07,5.20E+07,5.90E+07
,0,120,3,180.0591,11.16788,0.7986121,C13-label-1,Glucose,Glucose,C6H12O6,0.8116617,1.779604,179.0558,3778200,3936743,4122078
,0,121,2,181.0624,11.12382,0.7802113,C13-label-2,Glucose,Glucose,C6H12O6,0.8557224,2.106836,179.0558,152870.3,174810.7,0
,0,122,2,182.0658,11.16021,0.8359746,C13-label-3,Glucose,Glucose,C6H12O6,0.8193274,1.843799,179.0558,31638.53,41951.54,33104.62
,0,123,0,185.0761,11.15928,0.3029521,C13-label-6,Glucose,Glucose,C6H12O6,0.8202553,0.5771217,179.0558,4862.486,4880.924,0
,0,124,3,180.0663,9.950427,0.7292605,C12 PARENT,tyrosine,tyrosine,C9H11NO3,0.7733126,1.525314,180.0664,43009.43,63239.67,84963.1
,0,125,0,181.0703,10.02687,0.3270311,C13-label-1,tyrosine,tyrosine,C9H11NO3,0.6968727,1.853943,180.0664,0,0,5631.158
,0,126,0,183.0771,9.924233,0.05226953,C13-label-3,tyrosine,tyrosine,C9H11NO3,0.7995062,2.58374,180.0664,2587.748,969.0381,0
,0,127,0,188.0926,9.954468,0.2262812,C13-label-8,tyrosine,tyrosine,C9H11NO3,0.7692719,4.70516,180.0664,0,2916.45,5890.973
,0,128,3,203.0824,8.182896,0.8306283,C12 PARENT,tryptophan,tryptophan,C11H12N2O2,0.6193075,0.9767664,203.0824,422427.1,288431.1,773568.4
,0,129,0,205.0822,8.2298,0.05214879,C13N15-label-1-1,tryptophan,tryptophan,C11H12N2O2,0.572403,3.943359,203.0824,0,0,1037.843
,0,130,0,209.0972,8.1162,0.05902288,C13N15-label-5-1,tryptophan,tryptophan,C11H12N2O2,0.6860027,3.72172,203.0824,1526.554,0,0
,0,131,3,204.0856,8.159061,0.8429305,C13-label-1,tryptophan,tryptophan,C11H12N2O2,0.6431417,1.570096,203.0824,36585.01,26876.58,69384.13
,0,132,0,205.0891,8.180243,0.1035526,C13-label-2,tryptophan,tryptophan,C11H12N2O2,0.6219606,0.9672092,203.0824,0,957.2295,3417.545
,0,133,0,204.0792,8.185117,0.05989669,N15-label-1,tryptophan,tryptophan,C11H12N2O2,0.6170864,2.018758,203.0824,2418.965,0,3539.655
